,Country/Region,Province/State,date,Confirmed,Deaths,Recovered,t2m,q2m,sp,tp,uvb,ssrd
0,Italy,Abruzzo,2019-11-01,,,,284.76053,0.008689065,92892.87,0.00036350748,16302.824,145568.52
1,Italy,Abruzzo,2019-11-02,,,,285.755,0.00850245,92333.984,0.00013495643,32828.473,286161.44
2,Italy,Abruzzo,2019-11-03,,,,287.93787,0.009405544,91464.6,0.00074310764,31303.18,263372.94
3,Italy,Abruzzo,2019-11-04,,,,286.2538,0.007811783,91686.305,0.00010303236,41353.625,392041.62
4,Italy,Abruzzo,2019-11-05,,,,288.33533,0.009230437,91724.02,0.0005646375,30907.041,263726.06
5,Italy,Abruzzo,2019-11-06,,,,284.2099,0.0069182646,91927.78,7.33984e-05,35235.13,316229.9
6,Italy,Abruzzo,2019-11-07,,,,282.55978,0.005991323,92163.02,1.07458845e-05,43189.035,414992.88
7,Italy,Abruzzo,2019-11-08,,,,282.11707,0.006441022,91966.64,0.00025919903,28779.367,241315.89
8,Italy,Abruzzo,2019-11-09,,,,281.61813,0.0062033036,92152.01,0.0001895134,35524.906,324956.25
9,Italy,Abruzzo,2019-11-10,,,,280.92975,0.0059219715,92238.234,5.5276272e-05,36163.11,342890.62
10,Italy,Abruzzo,2019-11-11,,,,282.63156,0.006962278,92429.86,0.00012446714,33685.215,298335.25
11,Italy,Abruzzo,2019-11-12,,,,282.87808,0.007419629,91141.74,0.00065337133,12418.524,102213.66
12,Italy,Abruzzo,2019-11-13,,,,282.24792,0.0066089877,91335.34,9.1275455e-05,26020.85,235427.94
13,Italy,Abruzzo,2019-11-14,,,,281.1384,0.006266767,92080.664,0.00017050734,26086.049,242344.19
14,Italy,Abruzzo,2019-11-15,,,,284.35486,0.0073175165,91953.09,0.00057296053,30475.0,267637.34
15,Italy,Abruzzo,2019-11-16,,,,283.49713,0.007678065,92372.96,0.0007455858,14696.248,125489.266
16,Italy,Abruzzo,2019-11-17,,,,282.77454,0.006974114,91897.68,0.0006683095,16341.033,140820.44
17,Italy,Abruzzo,2019-11-18,,,,281.62366,0.00595103,92633.29,3.2299406e-05,32770.29,308280.97
18,Italy,Abruzzo,2019-11-19,,,,281.91663,0.006633751,92720.39,7.962727e-05,20869.648,162289.36
19,Italy,Abruzzo,2019-11-20,,,,281.44427,0.006283363,92511.16,4.1689673e-05,29323.156,288586.6
20,Italy,Abruzzo,2019-11-21,,,,280.55215,0.005502677,92591.555,2.5312977e-05,29764.955,265569.5
21,Italy,Abruzzo,2019-11-22,,,,280.42267,0.0057852766,92597.01,1.3545914e-05,31525.646,294179.66
22,Italy,Abruzzo,2019-11-23,,,,282.57285,0.0063678455,92270.79,0.00010381205,29926.46,272426.9
23,Italy,Abruzzo,2019-11-24,,,,283.29785,0.0076233735,91712.055,0.0014871494,11355.693,88352.44
