,Country/Region,Province/State,date,Deaths,Confirmed,Recovered,t2m,q2m,sp,tp,uvb,ssrd
0,Mainland China,Xinjiang,2019-11-01,,,,277.08572,0.0027117922,82135.164,9.884121e-07,57009.105,535075.0
1,Mainland China,Xinjiang,2019-11-02,,,,277.74472,0.00297491,82178.43,6.856939e-06,53424.844,493373.0
2,Mainland China,Xinjiang,2019-11-03,,,,276.67078,0.0030958077,82318.766,5.176251e-06,52214.535,477055.8
3,Mainland China,Xinjiang,2019-11-04,,,,276.22238,0.0029488844,82124.32,6.016537e-06,52942.66,493669.88
4,Mainland China,Xinjiang,2019-11-05,,,,275.44888,0.002919846,81960.66,2.8802575e-05,51245.86,476103.97
5,Mainland China,Xinjiang,2019-11-06,,,,274.8801,0.0029917732,81956.09,5.4105803e-05,44655.742,407635.56
6,Mainland China,Xinjiang,2019-11-07,,,,273.69067,0.0029346978,82177.49,7.2202434e-05,45586.33,412316.5
7,Mainland China,Xinjiang,2019-11-08,,,,272.2527,0.0026074916,82600.23,1.7016726e-05,47371.504,434754.44
8,Mainland China,Xinjiang,2019-11-09,,,,271.73886,0.0022926251,82591.25,3.5882597e-06,52464.41,499126.16
9,Mainland China,Xinjiang,2019-11-10,,,,272.38492,0.0023804358,81886.84,2.1744143e-05,50513.45,477327.9
10,Mainland China,Xinjiang,2019-11-11,,,,271.09512,0.0021055862,82364.6,5.3936037e-05,43605.66,398686.16
11,Mainland China,Xinjiang,2019-11-12,,,,269.0345,0.0018780268,83107.25,9.222355e-06,48795.81,467913.84
12,Mainland China,Xinjiang,2019-11-13,,,,269.91336,0.0017396085,82541.0,8.902929e-07,50572.605,491946.94
13,Mainland China,Xinjiang,2019-11-14,,,,270.84335,0.0017604957,82009.13,4.0264504e-06,48987.81,470735.88
14,Mainland China,Xinjiang,2019-11-15,,,,271.5378,0.0018655249,81802.34,3.7076148e-05,44491.9,409961.22
15,Mainland China,Xinjiang,2019-11-16,,,,268.5979,0.0014708735,82633.57,1.626945e-05,44505.195,419037.53
16,Mainland China,Xinjiang,2019-11-17,,,,266.39706,0.0011492532,82878.29,3.4736033e-06,45415.848,433219.4
17,Mainland China,Xinjiang,2019-11-18,,,,266.96698,0.0011776249,82454.03,9.284746e-06,45769.266,436057.5
18,Mainland China,Xinjiang,2019-11-19,,,,267.90552,0.0013313504,82095.61,1.2586391e-05,45729.65,438682.34
19,Mainland China,Xinjiang,2019-11-20,,,,268.52203,0.0014698355,81668.945,2.6421021e-05,44490.902,424531.12
20,Mainland China,Xinjiang,2019-11-21,,,,267.98837,0.0014961715,81624.06,3.1659703e-05,41341.938,381358.12
21,Mainland China,Xinjiang,2019-11-22,,,,266.9423,0.0014099481,82189.33,1.4765662e-05,41831.277,390149.53
22,Mainland China,Xinjiang,2019-11-23,,,,265.1881,0.0012775378,82852.5,1.3270922e-05,41152.42,386803.44
23,Mainland China,Xinjiang,2019-11-24,,,,264.84888,0.0011168242,82479.23,2.549934e-06,42314.29,397917.25
24,Mainland China,Xinjiang,2019-11-25,,,,265.24722,0.0011947482,82359.05,1.4014982e-05,40182.66,370902.4
25,Mainland China,Xinjiang,2019-11-26,,,,264.81235,0.0012786747,82515.805,4.7865838e-06,41874.504,396296.84
26,Mainland China,Xinjiang,2019-11-27,,,,265.12604,0.001358227,82370.21,8.2601e-06,40637.453,379098.9
27,Mainland China,Xinjiang,2019-11-28,,,,264.2242,0.0013655291,82464.6,8.6673035e-06,38819.508,359635.4
28,Mainland China,Xinjiang,2019-11-29,,,,262.82828,0.0013158057,82755.53,5.819504e-06,40310.46,383647.9
29,Mainland China,Xinjiang,2019-11-30,,,,261.78406,0.0012443758,82946.1,2.4263509e-06,41443.492,402058.2
30,Mainland China,Xinjiang,2019-12-01,,,,261.6177,0.0011664218,82824.04,6.1176706e-07,41525.258,408341.0
31,Mainland China,Xinjiang,2019-12-02,,,,262.47095,0.0011832876,82672.29,1.5513807e-06,41487.746,408408.78
32,Mainland China,Xinjiang,2019-12-03,,,,263.62463,0.0012824823,82904.19,2.484416e-06,40022.945,389550.53
33,Mainland China,Xinjiang,2019-12-04,,,,264.20938,0.0012571095,82925.77,3.918881e-08,41158.67,407340.25
34,Mainland China,Xinjiang,2019-12-05,,,,264.6143,0.0012953895,82700.57,3.6890796e-08,40736.83,401736.2
35,Mainland China,Xinjiang,2019-12-06,,,,265.0522,0.001396834,82721.17,9.79218e-06,39419.902,382507.7
36,Mainland China,Xinjiang,2019-12-07,,,,264.67892,0.0014539816,83016.93,2.2017148e-06,39053.473,376968.84
37,Mainland China,Xinjiang,2019-12-08,,,,264.54572,0.0013991692,82760.766,2.795787e-07,40004.082,393363.8
38,Mainland China,Xinjiang,2019-12-09,,,,264.37927,0.0013505457,82341.65,3.7217795e-08,39727.664,391357.88
39,Mainland China,Xinjiang,2019-12-10,,,,264.3888,0.0013553211,82142.03,1.1484431e-06,38003.023,367730.56
40,Mainland China,Xinjiang,2019-12-11,,,,263.73547,0.001357027,81959.02,2.6558107e-06,37071.73,354636.4
41,Mainland China,Xinjiang,2019-12-12,,,,263.52512,0.0013492275,81873.375,2.036502e-06,38221.64,370539.62
42,Mainland China,Xinjiang,2019-12-13,,,,264.01913,0.0014082288,81700.23,4.0146583e-06,36241.164,343154.88
43,Mainland China,Xinjiang,2019-12-14,,,,264.30353,0.0014708994,81674.63,1.2232035e-05,34559.63,317703.25
44,Mainland China,Xinjiang,2019-12-15,,,,264.18423,0.0015378069,82185.336,1.5480202e-05,34874.473,325599.4
45,Mainland China,Xinjiang,2019-12-16,,,,262.5814,0.0015009149,82585.375,7.0359774e-06,35564.89,337530.7
46,Mainland China,Xinjiang,2019-12-17,,,,261.31058,0.0013157012,82716.75,1.7551383e-06,37964.273,373532.4
47,Mainland China,Xinjiang,2019-12-18,,,,261.4882,0.0012599331,82522.52,2.1260444e-06,37704.59,369956.62
48,Mainland China,Xinjiang,2019-12-19,,,,262.14648,0.0013428939,82168.87,9.457317e-06,35008.07,329702.88
49,Mainland China,Xinjiang,2019-12-20,,,,261.87762,0.0013667226,81929.0,1.9200583e-05,35257.53,333047.9
50,Mainland China,Xinjiang,2019-12-21,,,,262.36478,0.0013388345,81489.37,7.174965e-06,37871.54,367107.2
51,Mainland China,Xinjiang,2019-12-22,,,,262.93912,0.0013722753,81609.94,2.4901115e-05,33785.496,311519.06
52,Mainland China,Xinjiang,2019-12-23,,,,262.0949,0.0012989304,81850.65,1.3711756e-05,37692.43,363955.78
53,Mainland China,Xinjiang,2019-12-24,,,,260.90723,0.0012327384,82409.09,1.7765278e-05,34157.996,318843.1
54,Mainland China,Xinjiang,2019-12-25,,,,259.81894,0.0011411953,82827.16,1.5912834e-06,38514.62,376428.72
55,Mainland China,Xinjiang,2019-12-26,,,,260.01013,0.0011046439,82482.93,1.6506327e-06,38737.402,380501.56
56,Mainland China,Xinjiang,2019-12-27,,,,261.217,0.0010826046,81815.03,1.1853823e-06,38954.844,382292.38
57,Mainland China,Xinjiang,2019-12-28,,,,261.77768,0.0011127994,81772.34,2.0824036e-06,38076.418,371279.25
